,year,Commodity,value
45,2014-01-01,VEHICLES OTHER THAN ,78.04
46,2014-01-01,ELECTRICAL MACHINERY,64.76
47,2014-01-01,FISH AND CRUSTACEANS,63.47
48,2014-01-01,MISCELLANEOUS EDIBLE,56.89
49,2014-01-01,ORGANIC CHEMICALS,55.37
50,2015-01-01,PHARMACEUTICAL PRODU,353.83
51,2015-01-01,"COFFEE, TEA, MATE AN",115.97
52,2015-01-01,"AIRCRAFT, SPACECRAFT",106.52
53,2015-01-01,"NUCLEAR REACTORS, BO",93.83
54,2015-01-01,MISCELLANEOUS EDIBLE,64.22
55,2015-01-01,VEHICLES OTHER THAN ,62.17
56,2015-01-01,ORGANIC CHEMICALS,53.88
57,2015-01-01,IRON AND STEEL,52.6
58,2015-01-01,ELECTRICAL MACHINERY,49.34
59,2015-01-01,TOBACCO AND MANUFACT,38.7
60,2016-01-01,PHARMACEUTICAL PRODU,351.05
61,2016-01-01,"NUCLEAR REACTORS, BO",221.13
62,2016-01-01,"COFFEE, TEA, MATE AN",124.45
63,2016-01-01,"AIRCRAFT, SPACECRAFT",111.53
64,2016-01-01,ORGANIC CHEMICALS,94.9
65,2016-01-01,ELECTRICAL MACHINERY,72.95
66,2016-01-01,VEHICLES OTHER THAN ,70.44
67,2016-01-01,MISCELLANEOUS EDIBLE,68.63
68,2016-01-01,IRON AND STEEL,62.21
69,2016-01-01,FISH AND CRUSTACEANS,58.02
70,2017-01-01,PHARMACEUTICAL PRODU,408.93
71,2017-01-01,"NUCLEAR REACTORS, BO",182.42
72,2017-01-01,ORGANIC CHEMICALS,143.87
73,2017-01-01,"COFFEE, TEA, MATE AN",139.51
74,2017-01-01,VEHICLES OTHER THAN ,122.37
75,2017-01-01,FISH AND CRUSTACEANS,80.51
76,2017-01-01,IRON AND STEEL,74.2
77,2017-01-01,MISCELLANEOUS EDIBLE,62.06
78,2017-01-01,ELECTRICAL MACHINERY,60.27
79,2017-01-01,MEAT AND EDIBLE MEAT,50.49
80,2018-01-01,PHARMACEUTICAL PRODU,410.21
81,2018-01-01,ELECTRICAL MACHINERY,304.51
82,2018-01-01,"NUCLEAR REACTORS, BO",202.24
83,2018-01-01,ORGANIC CHEMICALS,149.58
84,2018-01-01,"COFFEE, TEA, MATE AN",121.4
85,2018-01-01,VEHICLES OTHER THAN ,116.84
86,2018-01-01,IRON AND STEEL,80.99
87,2018-01-01,FISH AND CRUSTACEANS,76.07
88,2018-01-01,MISCELLANEOUS CHEMIC,53.61
89,2018-01-01,EDIBLE FRUIT AND NUT,51.51
90,2019-01-01,ELECTRICAL MACHINERY,585.24
91,2019-01-01,PHARMACEUTICAL PRODU,440.34
92,2019-01-01,"NUCLEAR REACTORS, BO",352.19
93,2019-01-01,ORGANIC CHEMICALS,205.93
94,2019-01-01,"COFFEE, TEA, MATE AN",115.41
95,2019-01-01,IRON AND STEEL,112.99
96,2019-01-01,FISH AND CRUSTACEANS,102.41
97,2019-01-01,VEHICLES OTHER THAN ,94.71
98,2019-01-01,MISCELLANEOUS CHEMIC,68.42
99,2019-01-01,MEAT AND EDIBLE MEAT,64.17
100,2020-01-01,PHARMACEUTICAL PRODU,469.99
101,2020-01-01,ELECTRICAL MACHINERY,301.77
102,2020-01-01,ORGANIC CHEMICALS,267.38
103,2020-01-01,"NUCLEAR REACTORS, BO",226.98
104,2020-01-01,IRON AND STEEL,137.88
105,2020-01-01,"COFFEE, TEA, MATE AN",103.02
106,2020-01-01,VEHICLES OTHER THAN ,88.77
107,2020-01-01,FISH AND CRUSTACEANS,83.08
108,2020-01-01,"OPTICAL, PHOTOGRAPHI",67.0
109,2020-01-01,MISCELLANEOUS CHEMIC,62.99
110,2021-01-01,ELECTRICAL MACHINERY,518.62
111,2021-01-01,PHARMACEUTICAL PRODU,479.51
112,2021-01-01,"NUCLEAR REACTORS, BO",302.45
113,2021-01-01,IRON AND STEEL,239.82
114,2021-01-01,ORGANIC CHEMICALS,230.99
115,2021-01-01,VEHICLES OTHER THAN ,127.97
116,2021-01-01,FISH AND CRUSTACEANS,119.98
117,2021-01-01,"COFFEE, TEA, MATE AN",94.19
118,2021-01-01,MISCELLANEOUS CHEMIC,90.51
119,2021-01-01,"LAC; GUMS, RESINS AN",63.27
